,ID,Recency,Frequency,Monetary,RFM,Segment,BMI,Income,Ethnicity,Lifestage,Strata,Members,Loc
264,138051101,109.0045168287893,119,80.87563025210086,234.0,At-Risk,Healthy,>5000,Malay,Teens and Toddlers,Urban,6,North
265,138053101,110.99683458224209,112,10.968749999999996,231.0,Churned,Healthy,< 1500,Chinese,Yankys,Urban,1-3,North
266,138054101,80.7978498267804,138,71.29492753623188,444.0,Best customers,Healthy,2000 - 2999,Others,Teens Aches,Urban,4,North
267,138056101,100.5379673878113,145,50.5744827586207,343.0,Loyalists,Healthy,3000 - 3999,Chinese,Teens Aches,Urban,4,North
268,138057101,367.0485919420035,116,44.298275862069,232.0,At-Risk,Under Weight,2000 - 2999,Others,Teens and Toddlers,Urban,6,North
269,138060101,85.20779609353276,154,49.43701298701298,443.0,Best customers,Healthy,>5000,Chinese,Matured Families,Urban,4,North
270,138065101,80.7978498267804,110,35.94727272727272,432.0,Low-Spending Loyalists,Healthy,2000 - 2999,Malay,Yankys,Urban,1-3,North
271,138067101,102.37405908244419,102,25.312745098039223,331.0,Potential Loyalists,Healthy,3000 - 3999,Chinese,Teens Aches,Urban,4,North
272,138068101,110.11470129155566,3,45.86666666666667,213.0,Churned,Healthy,3000 - 3999,Chinese,Matured Families,Urban,4,North
273,139001103,82.88579638629777,139,51.82805755395683,443.0,Best customers,Healthy,>5000,Chinese,Matured Families,Urban,5,North
274,139003101,94.30724124759843,132,35.68560606060608,342.0,Low-Spending Loyalists,Under Weight,4000 - 4999,Chinese,Matured Families,Urban,1-3,North
275,139007101,80.7978498267804,141,50.746099290780144,443.0,Best customers,Under Weight,>5000,Chinese,Matured Families,Urban,1-3,North
276,139013101,164.9421284650396,109,30.272477064220187,231.0,Churned,Healthy,< 1500,Chinese,Empty Nesters,Urban,1-3,North
277,139014101,87.81400108459273,152,51.495394736842094,443.0,Best customers,Healthy,>5000,Chinese,Empty Nesters,Urban,1-3,North
278,139015101,433.1683586335805,46,17.63695652173912,121.0,Lost,Healthy,4000 - 4999,Chinese,Matured Families,Urban,1-3,North
279,139016101,82.88579638629777,133,49.28872180451127,443.0,Best customers,Healthy,>5000,Chinese,Empty Nesters,Urban,1-3,North
280,139020101,87.81400108459273,129,39.04108527131784,442.0,Low-Spending Loyalists,Healthy,3000 - 3999,Chinese,Teens Aches,Urban,4,North
281,139024101,95.2694106940282,142,47.523239436619725,343.0,Loyalists,Obese,4000 - 4999,Chinese,Teens Aches,Urban,4,North
282,139037101,82.88579638629777,137,33.34598540145985,442.0,Low-Spending Loyalists,Healthy,>5000,Chinese,Matured Families,Urban,4,North
283,139039101,92.24360455365657,70,62.60571428571428,323.0,Potential Loyalists,Healthy,3000 - 3999,Chinese,Teens Aches,Urban,4,North
